Customer_ID,Customer_Name,Gender,Age_Group,Customer_Segment,Region
C0094,Wanjiku Ochieng,Male,25-34,Consumer,Coast
C0095,James Kariuki,Female,35-44,Consumer,Eastern
C0096,Hassan Otieno,Female,25-34,Consumer,Rift Valley
C0097,Rose Muriuki,Female,45-54,Small Business,Western
C0098,Mary Otieno,Female,55+,,Rift Valley
C0099,Esther Njoroge,Male,55+,Consumer,Nairobi
C0100,Kevin Mutua,Male,35-44,Small Business,Nairobi
C0101,Esther Kiptoo,Female,18-24,Consumer,Eastern
C0102,Brian Otieno,Female,55+,Consumer,Rift Valley
C0103,Victor Njoroge,Male,35-44,Consumer,Nairobi
C0104,Esther Kiptoo,Male,55+,Consumer,Western
C0105,Sharon Mutua,Male,45-54,Consumer,Coast
C0106,Brian Ochieng,Female,18-24,Consumer,Eastern
C0107,Victor Kariuki,Female,45-54,Small Business,Coast
C0108,Kevin Ochieng,Female,18-24,Consumer,Central
C0109,Nancy Mwangi,Male,25-34,Consumer,Central
C0110,Esther Maina,Male,55+,Consumer,Western
C0111,Victor Maina,Female,45-54,Consumer,Coast
C0112,James Kiptoo,Male,45-54,Consumer,Eastern
C0113,Irene Njoroge,Male,55+,Consumer,Western
C0114,James Akinyi,Female,35-44,Consumer,Nairobi
C0115,Lucy Mwangi,Female,45-54,Consumer,Nairobi
C0116,Brian Mutua,Male,45-54,Consumer,Rift Valley
C0117,Sharon Njoroge,Female,35-44,Consumer,Rift Valley
C0118,Samuel Muriuki,Male,55+,Small Business,Nairobi
C0119,Irene Ochieng,Male,55+,Small Business,Nairobi
C0120,Mary Njoroge,Female,55+,Corporate,Coast
C0121,Nancy Akinyi,Male,55+,Consumer,Nairobi
C0122,Irene Mutua,Male,45-54,Consumer,Eastern
C0123,Peter Ochieng,Female,18-24,Consumer,Central
C0124,Peter Wambui,Female,45-54,Consumer,Nairobi
C0125,Mary Otieno,Male,35-44,Small Business,Eastern
C0126,Faith Kiptoo,Female,45-54,Small Business,Nairobi
C0127,David Njoroge,Female,55+,Consumer,Central
C0128,Kevin Mwangi,Male,25-34,Corporate,Nairobi
C0129,Peter Kariuki,Female,25-34,Consumer,Nairobi
C0130,James Maina,Female,55+,Consumer,Nairobi
C0131,George Wambui,Female,25-34,Consumer,Nairobi
C0132,Peter Otieno,Female,55+,Consumer,Nairobi
C0133,Rose Kiptoo,Male,25-34,Small Business,Nairobi
C0134,Irene Ochieng,Male,25-34,Consumer,Coast
C0135,Hassan Mwangi,Female,25-34,Consumer,Rift Valley
C0136,Hassan Muriuki,Female,35-44,Corporate,Central
C0137,George Mwangi,Female,25-34,Consumer,Central
C0138,Irene Muriuki,Female,18-24,Consumer,Western
C0139,Esther Kiptoo,Male,55+,Small Business,Eastern
C0140,James Mutua,Male,35-44,Small Business,Eastern
C0141,Wanjiku Ochieng,Male,45-54,Small Business,Nairobi
C0142,Victor Kiptoo,Male,55+,Consumer,Nairobi
C0143,Brian Muriuki,Female,55+,Consumer,Nairobi
C0144,James Ochieng,Female,35-44,Consumer,Nairobi
C0145,Lucy Mutua,Male,55+,Consumer,Coast
C0146,Esther Mwangi,Male,45-54,Small Business,Central
C0147,Wanjiku Muriuki,Male,55+,Small Business,Nairobi
C0148,George Otieno,Female,25-34,Consumer,Central
C0149,Mary Mutua,Male,55+,Consumer,Western
C0150,Lucy Mutua,Female,55+,,Nairobi
C0151,David Muriuki,Female,25-34,Small Business,Eastern
C0152,Irene Kamau,Male,55+,Corporate,Nairobi
C0153,David Muriuki,Female,45-54,Small Business,Eastern
C0154,Faith Akinyi,Male,55+,Consumer,Nairobi
C0155,Nancy Akinyi,Male,25-34,Consumer,Eastern
C0156,Faith Wambui,Male,55+,Consumer,Eastern
C0157,Irene Akinyi,Female,18-24,Consumer,Eastern
C0158,Rose Mutua,Male,55+,Consumer,Rift Valley
C0159,Samuel Kariuki,Female,45-54,Consumer,Rift Valley
C0160,Lucy Wambui,Male,45-54,Consumer,Coast
C0161,Esther Kariuki,Male,25-34,Small Business,Rift Valley
C0162,Brian Otieno,Female,55+,Corporate,Nairobi
C0163,Hassan Mwangi,Female,25-34,Consumer,Western
C0164,Irene Ochieng,Female,45-54,Small Business,Western
C0165,Mary Muriuki,Male,35-44,Small Business,Eastern
C0166,Irene Mutua,Female,25-34,Small Business,Western
C0167,Esther Akinyi,Male,18-24,Corporate,Central
C0168,Brian Wambui,Female,55+,Consumer,Coast
C0169,David Wambui,Female,25-34,Consumer,Nairobi
C0170,Rose Mwangi,Male,25-34,Small Business,Nairobi
C0171,Faith Mutua,Female,45-54,Consumer,Western
C0172,Carol Kamau,Male,25-34,Consumer,Central
C0173,Esther Wambui,Male,55+,Consumer,Nairobi
C0174,Amina Otieno,Female,25-34,Consumer,Central
C0175,Rose Otieno,Female,35-44,Small Business,Central
C0176,Sharon Mwangi,Male,45-54,Consumer,Central
C0177,Brian Kariuki,Male,35-44,Consumer,Central
C0178,Mary Kiptoo,Male,18-24,Consumer,Rift Valley
C0179,Rose Otieno,Male,18-24,Corporate,Central
C0180,Irene Kamau,Male,55+,Consumer,Eastern
C0181,Peter Kamau,Male,55+,Corporate,Eastern
C0182,Faith Ochieng,Female,45-54,Consumer,Western
C0183,Kevin Muriuki,Male,25-34,Consumer,Central
C0184,Hassan Maina,Male,55+,Small Business,Western
C0185,Esther Maina,Male,55+,Corporate,Eastern
C0186,Kevin Maina,Female,25-34,,Coast
C0187,Wanjiku Kamau,Male,35-44,Small Business,Rift Valley
C0188,Wanjiku Wambui,Female,25-34,Consumer,Western
C0189,James Kamau,Male,45-54,Consumer,Coast
C0190,Irene Mutua,Male,45-54,Consumer,Central
C0191,Rose Mutua,Female,35-44,Small Business,Rift Valley
C0192,Sharon Maina,Female,35-44,Small Business,Nairobi
C0193,George Mwangi,Male,25-34,Corporate,Rift Valley
C0194,Samuel Akinyi,Female,55+,Consumer,Eastern
C0195,Peter Njoroge,Male,55+,Consumer,Nairobi
C0196,Brian Ochieng,Female,35-44,Small Business,Coast
C0197,Amina Kariuki,Female,55+,Small Business,Nairobi
C0198,Brian Wambui,Male,55+,Consumer,Rift Valley
C0199,Sharon Mwangi,Male,35-44,Small Business,Nairobi
C0200,Esther Kiptoo,Male,25-34,Small Business,Eastern
C0201,Esther Maina,Female,55+,Consumer,Nairobi
C0202,Wanjiku Ochieng,Male,35-44,Consumer,Eastern
C0203,Peter Akinyi,Male,35-44,Consumer,Rift Valley
C0204,Irene Kamau,Male,18-24,Consumer,Coast
C0205,Sharon Kariuki,Male,18-24,Consumer,Rift Valley
C0206,Lucy Otieno,Female,55+,Small Business,Rift Valley
C0207,Victor Muriuki,Male,25-34,Consumer,Eastern
C0208,David Njoroge,Female,55+,,Nairobi
C0209,Carol Wambui,Female,25-34,Small Business,Coast
C0210,Brian Kamau,Female,18-24,Small Business,Nairobi
C0211,Lucy Otieno,Male,45-54,Consumer,Coast
C0212,Sharon Njoroge,Male,35-44,Consumer,Nairobi
C0213,Peter Wambui,Female,55+,Consumer,Coast
C0214,James Kamau,Female,25-34,Small Business,Coast
C0215,Faith Ochieng,Female,55+,Consumer,Western
C0216,Samuel Muriuki,Female,55+,Corporate,Western
C0217,Sharon Kariuki,Female,45-54,Corporate,Rift Valley
C0218,George Maina,Female,25-34,Corporate,Rift Valley
C0219,Victor Otieno,Female,45-54,Consumer,Western
C0220,Faith Wambui,Male,25-34,Consumer,Coast
C0221,Mary Otieno,Male,35-44,Consumer,Eastern
C0222,Nancy Mutua,Male,25-34,Corporate,Nairobi
C0223,Brian Maina,Female,45-54,Consumer,Nairobi
C0224,Brian Akinyi,Female,35-44,Consumer,Nairobi
C0225,Peter Maina,Female,55+,Small Business,Coast
C0226,Kevin Kamau,Male,35-44,Consumer,Central
C0227,James Kamau,Male,45-54,Small Business,Rift Valley
C0228,James Akinyi,Male,55+,Consumer,Rift Valley
C0229,Peter Otieno,Female,55+,Consumer,Central
C0230,James Kiptoo,Male,45-54,Consumer,Eastern
C0231,James Akinyi,Male,45-54,Consumer,Rift Valley
C0232,David Ochieng,Female,45-54,Consumer,Nairobi
C0233,Amina Mutua,Female,45-54,Corporate,Central
C0234,Peter Muriuki,Female,35-44,Consumer,Central
C0235,David Otieno,Male,55+,Consumer,Nairobi
C0236,Mary Mwangi,Female,35-44,Consumer,Nairobi
C0237,Irene Njoroge,Male,25-34,Consumer,Eastern
C0238,Victor Akinyi,Male,25-34,Corporate,Western
C0239,Samuel Wambui,Male,35-44,Consumer,Central
C0240,Faith Wambui,Female,45-54,Consumer,Rift Valley
C0241,Lucy Maina,Male,45-54,Small Business,Western
C0242,Kevin Wambui,Male,18-24,Small Business,Eastern
C0243,Victor Njoroge,Female,35-44,Consumer,Rift Valley
C0244,Samuel Mwangi,Female,45-54,Consumer,Western
C0245,Wanjiku Ochieng,Male,25-34,Small Business,Central
C0246,Rose Akinyi,Female,45-54,Consumer,Eastern
C0247,Kevin Kamau,Male,45-54,Consumer,Rift Valley
C0248,Mary Wambui,Female,45-54,Corporate,Eastern
C0249,George Ochieng,Female,55+,Consumer,Nairobi
C0250,David Kiptoo,Male,35-44,Consumer,Eastern
C0251,Esther Otieno,Male,18-24,Consumer,Coast
C0252,Amina Akinyi,Female,25-34,Consumer,Nairobi
C0253,Nancy Kariuki,Female,25-34,Consumer,Coast
C0254,Brian Akinyi,Male,18-24,Consumer,Rift Valley
C0255,Samuel Otieno,Female,18-24,Consumer,Nairobi
C0256,Irene Muriuki,Female,25-34,Consumer,Western
C0257,Samuel Mutua,Male,35-44,Consumer,Eastern
C0258,David Mutua,Male,45-54,Consumer,Central
C0259,David Kariuki,Female,45-54,Corporate,Western
C0260,Peter Mwangi,Male,25-34,Small Business,Western
C0261,James Kiptoo,Female,55+,Consumer,Central
C0262,Hassan Muriuki,Female,55+,Consumer,Eastern
C0263,Hassan Ochieng,Male,18-24,Consumer,Rift Valley
C0264,Irene Kiptoo,Male,25-34,Consumer,Nairobi
C0265,Rose Kiptoo,Male,45-54,Corporate,Eastern
C0266,Carol Kariuki,Female,18-24,Consumer,Eastern
C0267,Esther Mwangi,Female,45-54,Consumer,Central
C0268,James Otieno,Female,45-54,Consumer,Eastern
C0269,Samuel Kiptoo,Male,18-24,Consumer,Nairobi
C0270,Victor Kiptoo,Female,45-54,Small Business,Eastern
C0271,Wanjiku Kiptoo,Female,35-44,Corporate,Rift Valley
C0272,Wanjiku Mwangi,Male,45-54,Small Business,Coast
C0273,Lucy Maina,Female,25-34,Small Business,Nairobi
C0274,Mary Akinyi,Male,18-24,Consumer,Eastern
C0275,Lucy Kiptoo,Female,45-54,Corporate,Nairobi
C0276,Brian Muriuki,Male,45-54,Small Business,Nairobi
C0277,James Muriuki,Male,35-44,Consumer,Nairobi
C0278,Wanjiku Otieno,Male,55+,Consumer,Rift Valley
C0279,David Wambui,Female,55+,Consumer,Nairobi
C0280,Victor Kiptoo,Male,45-54,Consumer,Eastern
C0281,Sharon Mutua,Female,55+,Small Business,Coast
C0282,Esther Mutua,Male,55+,Small Business,Nairobi
C0283,Faith Otieno,Male,18-24,Small Business,Nairobi
C0284,David Ochieng,Female,45-54,Corporate,Nairobi
C0285,George Njoroge,Female,55+,Consumer,Coast
C0286,Rose Otieno,Female,55+,Consumer,Rift Valley
C0287,Samuel Muriuki,Male,18-24,Small Business,Nairobi
C0288,Irene Maina,Male,18-24,Corporate,Eastern
C0289,Carol Wambui,Male,25-34,Consumer,Nairobi
C0290,Carol Njoroge,Female,25-34,Corporate,Rift Valley
C0291,Amina Kiptoo,Female,18-24,Consumer,Eastern
C0292,Irene Muriuki,Female,25-34,Consumer,Rift Valley
C0293,Faith Ochieng,Female,25-34,Consumer,Rift Valley
C0294,Hassan Njoroge,Male,25-34,Consumer,Eastern
C0295,Amina Ochieng,Female,35-44,Consumer,Nairobi
C0296,Hassan Maina,Male,25-34,Consumer,Nairobi
C0297,Kevin Mwangi,Male,55+,Consumer,Nairobi
C0298,Kevin Maina,Female,45-54,Consumer,Western
C0299,Carol Otieno,Male,45-54,Small Business,Rift Valley
C0300,Amina Akinyi,Male,25-34,Corporate,Coast
C0301,Faith Maina,Male,55+,Consumer,Eastern
C0302,Victor Akinyi,Male,25-34,Consumer,Nairobi
C0303,Irene Akinyi,Male,35-44,Consumer,Rift Valley
C0304,George Otieno,Male,55+,Consumer,Nairobi
C0305,James Otieno,Male,18-24,Consumer,Nairobi
C0306,James Otieno,Male,18-24,Consumer,Rift Valley
C0307,Carol Mwangi,Female,18-24,Small Business,Eastern
C0308,Faith Maina,Male,55+,Consumer,Coast
C0309,Irene Kamau,Male,45-54,Consumer,Nairobi
C0310,Wanjiku Akinyi,Female,55+,Consumer,Coast
C0311,Sharon Otieno,Female,45-54,Consumer,Nairobi
C0312,Sharon Kariuki,Female,35-44,Consumer,Eastern
C0313,Wanjiku Mwangi,Female,55+,Consumer,Rift Valley
C0314,Amina Wambui,Female,25-34,Consumer,Nairobi
C0315,Nancy Ochieng,Female,45-54,Corporate,Nairobi
C0316,Faith Kiptoo,Female,35-44,Consumer,Nairobi
C0317,Peter Ochieng,Female,25-34,Consumer,Eastern
C0318,Sharon Kamau,Male,18-24,Consumer,Western
C0319,Victor Ochieng,Female,18-24,Consumer,Rift Valley
C0320,James Kiptoo,Female,45-54,Consumer,Coast
C0321,Peter Wambui,Female,45-54,Small Business,Coast
C0322,Victor Mwangi,Male,55+,Corporate,Nairobi
C0323,Peter Muriuki,Male,35-44,Consumer,Eastern
C0324,David Otieno,Male,35-44,Consumer,Central
C0325,David Ochieng,Male,55+,Consumer,Coast
C0326,Victor Mutua,Female,18-24,Consumer,Rift Valley
C0327,Carol Maina,Female,55+,Consumer,Coast
C0328,Amina Wambui,Female,55+,Consumer,Eastern
C0329,Hassan Ochieng,Female,55+,Consumer,Nairobi
C0330,George Njoroge,Female,35-44,Consumer,Western
C0331,Esther Njoroge,Male,25-34,Small Business,Central
C0332,Victor Kamau,Male,35-44,Consumer,Western
C0333,George Kamau,Male,55+,Corporate,Nairobi
C0334,Samuel Ochieng,Male,45-54,Consumer,Nairobi
C0335,Rose Muriuki,Male,18-24,Consumer,Nairobi
C0336,Victor Ochieng,Female,18-24,Small Business,Central
C0337,Rose Kamau,Female,35-44,Corporate,Western
C0338,Amina Muriuki,Male,18-24,Small Business,Coast
C0339,Mary Kiptoo,Male,55+,Consumer,Coast
C0340,Faith Akinyi,Female,55+,Consumer,Central
C0341,Irene Ochieng,Female,45-54,Consumer,Central
C0342,Irene Kamau,Male,55+,Consumer,Nairobi
C0343,Sharon Akinyi,Female,55+,Consumer,Coast
C0344,Kevin Kamau,Female,55+,Consumer,Central
C0345,Kevin Kamau,Female,35-44,Consumer,Nairobi
C0346,Lucy Kiptoo,Female,45-54,Small Business,Central
C0347,Faith Muriuki,Male,55+,Small Business,Western
C0348,Wanjiku Kiptoo,Male,35-44,Consumer,Nairobi
C0349,Kevin Kiptoo,Female,55+,Small Business,Coast
C0350,Lucy Njoroge,Female,25-34,Small Business,Coast
C0351,Carol Wambui,Male,55+,Corporate,Rift Valley
C0352,Brian Wambui,Male,25-34,Small Business,Coast
C0353,Brian Kiptoo,Male,18-24,Consumer,Coast
C0354,Nancy Wambui,Female,18-24,Small Business,Central
C0355,Sharon Njoroge,Female,25-34,Consumer,Rift Valley
C0356,Lucy Wambui,Male,18-24,Consumer,Western
C0357,David Muriuki,Female,35-44,Small Business,Western
C0358,James Njoroge,Male,55+,Consumer,Coast
C0359,Victor Akinyi,Female,55+,Consumer,Central
C0360,Victor Mutua,Male,45-54,Consumer,Western
C0361,Hassan Muriuki,Female,25-34,Consumer,Rift Valley
C0362,David Kiptoo,Male,25-34,Consumer,Eastern
C0363,Peter Mutua,Female,35-44,Consumer,Eastern
C0364,Nancy Otieno,Female,18-24,Corporate,Western
C0365,Brian Maina,Male,35-44,Corporate,Western
C0366,Sharon Ochieng,Female,35-44,Consumer,Rift Valley
C0367,Hassan Kariuki,Male,55+,Consumer,Central
C0368,Brian Ochieng,Female,55+,Consumer,Eastern
C0369,Hassan Mwangi,Female,45-54,Consumer,Western
C0370,Mary Njoroge,Female,25-34,Consumer,Nairobi
C0371,Kevin Akinyi,Male,45-54,Consumer,Nairobi
C0372,Lucy Njoroge,Male,25-34,Consumer,Eastern
C0373,Victor Kariuki,Male,18-24,Consumer,Nairobi
C0374,Irene Akinyi,Male,45-54,Small Business,Central
C0375,James Kamau,Female,55+,Consumer,Central
C0376,Carol Muriuki,Male,18-24,Consumer,Nairobi
C0377,Peter Kariuki,Male,18-24,Consumer,Central
C0378,Mary Ochieng,Male,55+,Small Business,Rift Valley
C0379,Sharon Kamau,Female,35-44,Consumer,Nairobi
C0380,Esther Otieno,Male,45-54,Consumer,Eastern
C0381,Irene Kamau,Female,35-44,Consumer,Eastern
C0382,Peter Njoroge,Female,45-54,Consumer,Central
C0383,Sharon Muriuki,Male,35-44,Consumer,Nairobi
C0384,Faith Mwangi,Male,25-34,Corporate,Coast
C0385,Mary Mwangi,Female,45-54,Consumer,Nairobi
C0386,Amina Kamau,Male,45-54,Consumer,Central
C0387,Amina Akinyi,Male,55+,Small Business,Eastern
C0388,Rose Mwangi,Female,25-34,Consumer,Eastern
C0389,Irene Otieno,Female,55+,Consumer,Rift Valley
C0390,Irene Njoroge,Male,45-54,Small Business,Central
C0391,Wanjiku Maina,Female,45-54,Consumer,Rift Valley
C0392,David Maina,Female,18-24,Consumer,Rift Valley
C0393,David Otieno,Male,25-34,Consumer,Central
C0394,Victor Kariuki,Female,45-54,Consumer,Coast
C0395,Irene Muriuki,Female,18-24,Consumer,Nairobi
C0396,Wanjiku Njoroge,Female,35-44,Consumer,Nairobi
C0397,Lucy Ochieng,Female,18-24,Consumer,Western
C0398,Hassan Njoroge,Male,25-34,Consumer,Nairobi
C0399,Irene Otieno,Male,45-54,Small Business,Nairobi
C0400,Hassan Kiptoo,Male,55+,Consumer,Eastern
C0401,David Muriuki,Female,25-34,Corporate,Eastern
C0402,Faith Kamau,Male,55+,Consumer,Western
C0403,Sharon Muriuki,Male,55+,Consumer,Eastern
C0404,Amina Kariuki,Female,25-34,Small Business,Eastern
C0405,Esther Ochieng,Male,45-54,Consumer,Nairobi
C0406,Rose Kariuki,Female,25-34,Consumer,Western
C0407,Wanjiku Wambui,Female,55+,Small Business,Central
C0408,Brian Njoroge,Female,55+,Small Business,Nairobi
C0409,Nancy Akinyi,Male,18-24,Consumer,Rift Valley
C0410,Irene Kamau,Female,55+,Consumer,Western
C0411,James Ochieng,Female,25-34,Consumer,Western
C0412,Faith Kariuki,Female,55+,Consumer,Nairobi
C0413,Sharon Mwangi,Male,55+,Consumer,Nairobi
C0414,Nancy Akinyi,Male,35-44,Consumer,Eastern
C0415,David Kiptoo,Female,35-44,Consumer,Nairobi
C0416,Rose Mwangi,Male,25-34,Consumer,Nairobi
C0417,Peter Otieno,Female,25-34,Consumer,Central
C0418,Rose Kariuki,Female,35-44,Consumer,Western
C0419,Lucy Mwangi,Male,25-34,Consumer,Coast
C0420,David Kiptoo,Female,35-44,,Western
C0421,Lucy Mwangi,Male,45-54,Corporate,Nairobi
C0422,Sharon Wambui,Male,35-44,Consumer,Nairobi
C0423,Lucy Muriuki,Female,35-44,Consumer,Eastern
C0424,Victor Kiptoo,Male,35-44,Small Business,Coast
C0425,Irene Mwangi,Male,35-44,Consumer,Coast
C0426,Carol Wambui,Female,35-44,Consumer,Rift Valley
C0427,Brian Kariuki,Male,18-24,Consumer,Rift Valley
C0428,David Maina,Male,18-24,Consumer,Nairobi
C0429,Victor Akinyi,Male,25-34,Consumer,Central
C0430,Nancy Kariuki,Male,18-24,Corporate,Western
C0431,Samuel Kariuki,Male,18-24,Consumer,Central
C0432,George Akinyi,Male,35-44,Small Business,Eastern
C0433,Lucy Mwangi,Male,18-24,Consumer,Western
C0434,Rose Wambui,Male,45-54,Consumer,Rift Valley
C0435,Esther Muriuki,Male,18-24,Consumer,Eastern
C0436,Lucy Kamau,Female,55+,Consumer,Western
C0437,Lucy Maina,Male,55+,Corporate,Eastern
C0438,Peter Mwangi,Male,45-54,Small Business,Coast
C0439,Mary Akinyi,Male,55+,Consumer,Eastern
C0440,Carol Otieno,Female,55+,Consumer,Central
C0441,Sharon Kiptoo,Male,55+,Consumer,Western
C0442,Lucy Mwangi,Female,35-44,Corporate,Western
C0443,Samuel Wambui,Male,55+,Consumer,Nairobi
C0444,George Muriuki,Female,25-34,Small Business,Central
C0445,Peter Wambui,Male,18-24,Consumer,Eastern
C0446,Brian Maina,Female,25-34,Consumer,Coast
C0447,Hassan Akinyi,Male,25-34,Consumer,Nairobi
C0448,Esther Akinyi,Female,55+,Consumer,Central
C0449,Samuel Kariuki,Female,18-24,Small Business,Nairobi
C0450,Samuel Kiptoo,Female,55+,Consumer,Nairobi
C0451,Wanjiku Mwangi,Female,55+,Consumer,Eastern
C0452,Victor Akinyi,Male,55+,Consumer,Western
C0453,Lucy Mutua,Female,55+,Small Business,Central
C0454,James Mwangi,Female,45-54,Corporate,Coast
C0455,Wanjiku Ochieng,Male,55+,Consumer,Nairobi
C0456,Brian Mutua,Male,55+,Small Business,Nairobi
C0457,Kevin Maina,Male,18-24,Consumer,Rift Valley
C0458,Irene Kariuki,Female,45-54,Consumer,Coast
C0459,Esther Njoroge,Male,45-54,Consumer,Eastern
C0460,Esther Kariuki,Male,18-24,Consumer,Coast
C0461,David Wambui,Male,35-44,Consumer,Western
C0462,Mary Njoroge,Male,55+,Consumer,Rift Valley
C0463,Victor Kamau,Male,55+,Small Business,Eastern
C0464,Mary Kiptoo,Male,25-34,Consumer,Rift Valley
C0465,Nancy Kiptoo,Female,35-44,Small Business,Eastern
C0466,Lucy Mwangi,Male,55+,Consumer,Rift Valley
C0467,Amina Maina,Male,25-34,Consumer,Eastern
C0468,Irene Kiptoo,Female,18-24,Consumer,Nairobi
C0469,Kevin Kariuki,Female,18-24,Small Business,Rift Valley
C0470,David Mutua,Female,35-44,Consumer,Western
C0471,Kevin Mwangi,Female,45-54,Consumer,Western
C0472,Wanjiku Njoroge,Female,55+,Corporate,Coast
C0473,Amina Mwangi,Female,55+,Consumer,Eastern
C0474,Amina Maina,Male,55+,Corporate,Eastern
